L-R
f	тву	юву
658	0.015	0.235
659	0.015	0.235
660	0.015	0.234
661	0.015	0.234
662	0.015	0.234
663	0.015	0.233
664	0.015	0.233
665	0.015	0.233
666	0.015	0.232
667	0.015	0.232
668	0.015	0.232
669	0.015	0.231
670	0.015	0.231
671	0.015	0.231
672	0.015	0.23
673	0.015	0.23
674	0.015	0.23
675	0.015	0.229
676	0.015	0.229
677	0.015	0.229
678	0.015	0.229
679	0.015	0.228
680	0.015	0.228
681	0.015	0.228
682	0.015	0.227
683	0.015	0.227
684	0.015	0.227
685	0.015	0.226
686	0.015	0.226
687	0.015	0.226
688	0.015	0.225
689	0.015	0.225
690	0.015	0.225
691	0.015	0.224
692	0.015	0.224
693	0.015	0.224
694	0.015	0.224
695	0.015	0.223
696	0.015	0.223
697	0.015	0.223
698	0.015	0.222
699	0.014	0.222
700	0.014	0.222
701	0.014	0.221
702	0.014	0.221
703	0.014	0.221
704	0.014	0.221
705	0.014	0.22
706	0.014	0.22
707	0.014	0.22
708	0.014	0.219
709	0.014	0.219
710	0.014	0.219
711	0.014	0.218
712	0.014	0.218
713	0.014	0.218
714	0.014	0.218
715	0.014	0.217
716	0.014	0.217
717	0.014	0.217
718	0.014	0.216
719	0.014	0.216
720	0.014	0.216
721	0.014	0.216
722	0.014	0.215
723	0.014	0.215
724	0.014	0.215
725	0.014	0.214
726	0.014	0.214
727	0.014	0.214
728	0.014	0.214
729	0.014	0.213
730	0.014	0.213
731	0.014	0.213
732	0.014	0.212
733	0.014	0.212
734	0.014	0.212
735	0.014	0.212
736	0.014	0.211
737	0.014	0.211
738	0.014	0.211
739	0.014	0.211
740	0.014	0.21
741	0.014	0.21
742	0.014	0.21
743	0.014	0.209
744	0.014	0.209
745	0.014	0.209
746	0.014	0.209
747	0.014	0.208
748	0.014	0.208
749	0.014	0.208
750	0.014	0.208
751	0.013	0.207
752	0.013	0.207
753	0.013	0.207
754	0.013	0.207
755	0.013	0.206
756	0.013	0.206
757	0.013	0.206
758	0.013	0.205
759	0.013	0.205
760	0.013	0.205
761	0.013	0.205
762	0.013	0.204
763	0.013	0.204
764	0.013	0.204
765	0.013	0.204
766	0.013	0.203
767	0.013	0.203
768	0.013	0.203
769	0.013	0.203
770	0.013	0.202
771	0.013	0.202
772	0.013	0.202
773	0.013	0.202
774	0.013	0.201
775	0.013	0.201
776	0.013	0.201
777	0.013	0.201
778	0.013	0.2
779	0.013	0.2
780	0.013	0.2
781	0.013	0.2
782	0.013	0.199
783	0.013	0.199
784	0.013	0.199
785	0.013	0.199
786	0.013	0.198
787	0.013	0.198
788	0.013	0.198
789	0.013	0.198
790	0.013	0.197
791	0.013	0.197
792	0.013	0.197
793	0.013	0.197
794	0.013	0.197
795	0.013	0.196
796	0.013	0.196
797	0.013	0.196
798	0.013	0.196
799	0.013	0.195
800	0.013	0.195
801	0.013	0.195
802	0.013	0.195
803	0.013	0.194
804	0.013	0.194
805	0.013	0.194
806	0.013	0.194
807	0.013	0.193
808	0.013	0.193
809	0.013	0.193
810	0.013	0.193
811	0.012	0.193
812	0.012	0.192
813	0.012	0.192
814	0.012	0.192
815	0.012	0.192
816	0.012	0.191
817	0.012	0.191
818	0.012	0.191
819	0.012	0.191
820	0.012	0.191
821	0.012	0.19
822	0.012	0.19
823	0.012	0.19
824	0.012	0.19
825	0.012	0.189
826	0.012	0.189
827	0.012	0.189
828	0.012	0.189
829	0.012	0.189
830	0.012	0.188
831	0.012	0.188
832	0.012	0.188
833	0.012	0.188
834	0.012	0.187
835	0.012	0.187
836	0.012	0.187
837	0.012	0.187
838	0.012	0.187
839	0.012	0.186
840	0.012	0.186
841	0.012	0.186
842	0.012	0.186
843	0.012	0.186
844	0.012	0.185
845	0.012	0.185
846	0.012	0.185
847	0.012	0.185
848	0.012	0.184
849	0.012	0.184
850	0.012	0.184
851	0.012	0.184
852	0.012	0.184
853	0.012	0.183
854	0.012	0.183
855	0.012	0.183
856	0.012	0.183
857	0.012	0.183
858	0.012	0.182
859	0.012	0.182
860	0.012	0.182
861	0.012	0.182
862	0.012	0.182
863	0.012	0.181
864	0.012	0.181
865	0.012	0.181
866	0.012	0.181
867	0.012	0.181
868	0.012	0.18
869	0.012	0.18
870	0.012	0.18
871	0.012	0.18
872	0.012	0.18
873	0.012	0.179
874	0.012	0.179
875	0.012	0.179
876	0.012	0.179
877	0.012	0.179
878	0.012	0.178
879	0.012	0.178
880	0.012	0.178
881	0.011	0.178
882	0.011	0.178
883	0.011	0.177
884	0.011	0.177
885	0.011	0.177
886	0.011	0.177
887	0.011	0.177
888	0.011	0.176
889	0.011	0.176
890	0.011	0.176
891	0.011	0.176
892	0.011	0.176
893	0.011	0.175
894	0.011	0.175
895	0.011	0.175
896	0.011	0.175
897	0.011	0.175
898	0.011	0.175
899	0.011	0.174
900	0.011	0.174
901	0.011	0.174
902	0.011	0.174
903	0.011	0.174
904	0.011	0.173
905	0.011	0.173
906	0.011	0.173
907	0.011	0.173
908	0.011	0.173
909	0.011	0.172
910	0.011	0.172
911	0.011	0.172
912	0.011	0.172
913	0.011	0.172
914	0.011	0.172
915	0.011	0.171
916	0.011	0.171
917	0.011	0.171
918	0.011	0.171
919	0.011	0.171
920	0.011	0.17
921	0.011	0.17
922	0.011	0.17
923	0.011	0.17
924	0.011	0.17
925	0.011	0.17
926	0.011	0.169
927	0.011	0.169
928	0.011	0.169
929	0.011	0.169
930	0.011	0.169
931	0.011	0.169
932	0.011	0.168
933	0.011	0.168
934	0.011	0.168
935	0.011	0.168
936	0.011	0.168
937	0.011	0.167
938	0.011	0.167
939	0.011	0.167
940	0.011	0.167
941	0.011	0.167
942	0.011	0.167
943	0.011	0.166
944	0.011	0.166
945	0.011	0.166
946	0.011	0.166
947	0.011	0.166
948	0.011	0.166
949	0.011	0.165
950	0.011	0.165
951	0.011	0.165
952	0.011	0.165
953	0.011	0.165
954	0.011	0.165
955	0.011	0.164
956	0.011	0.164
957	0.011	0.164
958	0.011	0.164
959	0.011	0.164
960	0.011	0.164
961	0.011	0.163
962	0.011	0.163
963	0.011	0.163
