R-C
f	тву	юву
1307	0.348	0.52
1308	0.348	0.52
1309	0.348	0.519
1310	0.348	0.519
1311	0.347	0.519
1312	0.347	0.519
1313	0.347	0.518
1314	0.347	0.518
1315	0.346	0.518
1316	0.346	0.517
1317	0.346	0.517
1318	0.346	0.517
1319	0.346	0.517
1320	0.345	0.516
1321	0.345	0.516
1322	0.345	0.516
1323	0.345	0.515
1324	0.345	0.515
1325	0.344	0.515
1326	0.344	0.515
1327	0.344	0.514
1328	0.344	0.514
1329	0.343	0.514
1330	0.343	0.513
1331	0.343	0.513
1332	0.343	0.513
1333	0.343	0.513
1334	0.342	0.512
1335	0.342	0.512
1336	0.342	0.512
1337	0.342	0.511
1338	0.342	0.511
1339	0.341	0.511
1340	0.341	0.511
1341	0.341	0.51
1342	0.341	0.51
1343	0.341	0.51
1344	0.34	0.509
1345	0.34	0.509
1346	0.34	0.509
1347	0.34	0.509
1348	0.339	0.508
1349	0.339	0.508
1350	0.339	0.508
1351	0.339	0.508
1352	0.339	0.507
1353	0.338	0.507
1354	0.338	0.507
1355	0.338	0.506
1356	0.338	0.506
1357	0.338	0.506
1358	0.337	0.506
