R-L
f	тву	юву
731	0.136	0.977
732	0.136	0.977
733	0.136	0.977
734	0.136	0.977
735	0.136	0.977
736	0.136	0.977
737	0.135	0.977
738	0.135	0.978
739	0.135	0.978
740	0.135	0.978
741	0.135	0.978
742	0.135	0.978
743	0.134	0.978
744	0.134	0.978
745	0.134	0.978
746	0.134	0.978
747	0.134	0.978
748	0.133	0.978
749	0.133	0.978
750	0.133	0.978
751	0.133	0.978
752	0.133	0.978
753	0.133	0.978
754	0.132	0.978
755	0.132	0.978
756	0.132	0.979
757	0.132	0.979
758	0.132	0.979
759	0.132	0.979
760	0.131	0.979
761	0.131	0.979
762	0.131	0.979
763	0.131	0.979
764	0.131	0.979
765	0.131	0.979
766	0.13	0.979
767	0.13	0.979
768	0.13	0.979
769	0.13	0.979
770	0.13	0.979
771	0.13	0.979
772	0.129	0.979
773	0.129	0.979
774	0.129	0.98
775	0.129	0.98
776	0.129	0.98
777	0.129	0.98
778	0.128	0.98
779	0.128	0.98
780	0.128	0.98
781	0.128	0.98
782	0.128	0.98
783	0.128	0.98
784	0.128	0.98
785	0.127	0.98
786	0.127	0.98
787	0.127	0.98
788	0.127	0.98
789	0.127	0.98
790	0.127	0.98
791	0.126	0.98
792	0.126	0.98
793	0.126	0.98
794	0.126	0.98
795	0.126	0.981
796	0.126	0.981
797	0.125	0.981
798	0.125	0.981
799	0.125	0.981
800	0.125	0.981
801	0.125	0.981
802	0.125	0.981
803	0.125	0.981
804	0.124	0.981
805	0.124	0.981
806	0.124	0.981
807	0.124	0.981
808	0.124	0.981
809	0.124	0.981
810	0.124	0.981
811	0.123	0.981
812	0.123	0.981
813	0.123	0.981
814	0.123	0.981
815	0.123	0.981
816	0.123	0.982
817	0.122	0.982
818	0.122	0.982
819	0.122	0.982
820	0.122	0.982
821	0.122	0.982
822	0.122	0.982
823	0.122	0.982
824	0.121	0.982
825	0.121	0.982
826	0.121	0.982
827	0.121	0.982
828	0.121	0.982
829	0.121	0.982
830	0.121	0.982
831	0.12	0.982
832	0.12	0.982
833	0.12	0.982
834	0.12	0.982
835	0.12	0.982
836	0.12	0.982
837	0.12	0.982
838	0.119	0.982
839	0.119	0.982
840	0.119	0.983
841	0.119	0.983
842	0.119	0.983
843	0.119	0.983
844	0.119	0.983
845	0.119	0.983
846	0.118	0.983
847	0.118	0.983
848	0.118	0.983
849	0.118	0.983
850	0.118	0.983
851	0.118	0.983
852	0.118	0.983
853	0.117	0.983
854	0.117	0.983
855	0.117	0.983
856	0.117	0.983
857	0.117	0.983
858	0.117	0.983
859	0.117	0.983
860	0.116	0.983
861	0.116	0.983
862	0.116	0.983
863	0.116	0.983
864	0.116	0.983
865	0.116	0.983
866	0.116	0.984
867	0.116	0.984
868	0.115	0.984
869	0.115	0.984
870	0.115	0.984
871	0.115	0.984
872	0.115	0.984
873	0.115	0.984
874	0.115	0.984
875	0.115	0.984
876	0.114	0.984
877	0.114	0.984
878	0.114	0.984
879	0.114	0.984
880	0.114	0.984
881	0.114	0.984
882	0.114	0.984
883	0.114	0.984
884	0.113	0.984
885	0.113	0.984
886	0.113	0.984
887	0.113	0.984
888	0.113	0.984
889	0.113	0.984
890	0.113	0.984
891	0.113	0.984
892	0.112	0.984
893	0.112	0.984
894	0.112	0.985
895	0.112	0.985
896	0.112	0.985
897	0.112	0.985
898	0.112	0.985
899	0.112	0.985
900	0.111	0.985
901	0.111	0.985
902	0.111	0.985
903	0.111	0.985
904	0.111	0.985
905	0.111	0.985
906	0.111	0.985
907	0.111	0.985
908	0.11	0.985
909	0.11	0.985
